,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,,Redskins,Brian Mitchell 63 yard punt return (Scott Blanton kick),7,0
1,2.0,,Redskins,Larry Bowie 3 yard pass from Jeff Hostetler (Scott Blanton kick),14,0
2,2.0,,Redskins,Scott Blanton 40 yard field goal,17,0
3,2.0,,Cardinals,Rob Moore 4 yard pass from Jake Plummer (Joe Nedney kick),17,7
4,2.0,,Cardinals,Rob Moore 29 yard pass from Jake Plummer (Joe Nedney kick),17,14
5,3.0,,Redskins,Cris Dishman 21 yard interception return (Scott Blanton kick),24,14
6,3.0,,Cardinals,Chris Gedney 37 yard pass from Jake Plummer (Joe Nedney kick),24,21
7,4.0,,Redskins,Henry Ellard 23 yard pass from Jeff Hostetler (Scott Blanton kick),31,21
8,4.0,,Cardinals,Rob Moore 47 yard pass from Jake Plummer (Joe Nedney kick),31,28
9,4.0,,Redskins,Albert Connell 7 yard pass from Jeff Hostetler (Scott Blanton kick),38,28
