,Quarter,Tm,Detail,PIT,DEN
0,1.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),7,0
1,2.0,Steelers,John Stallworth 25 yard pass from Terry Bradshaw (Roy Gerela kick),14,0
2,2.0,Steelers,Jim Smith 10 yard pass from Terry Bradshaw (Roy Gerela kick),21,0
3,3.0,Broncos,Haven Moses 25 yard pass from Norris Weese (Jim Turner kick),21,7
4,4.0,Broncos,Jim Turner 45 yard field goal,21,10
5,4.0,Broncos,Riley Odoms 30 yard pass from Norris Weese (Jim Turner kick),21,17
