,Quarter,Time,Tm,Detail,TEN,CLE
0,1.0,10:18,Titans,Eddie George 14 yard rush (Al Del Greco kick),7,0
1,2.0,11:52,Browns,Tim Couch 4 yard rush (Phil Dawson kick),7,7
2,2.0,9:26,Browns,Terry Kirby 78 yard pass from Tim Couch (Phil Dawson kick),7,14
3,2.0,3:32,Titans,Al Del Greco 27 yard field goal,10,14
4,2.0,0:05,Titans,Al Del Greco 31 yard field goal,13,14
5,3.0,9:58,Titans,Steve McNair 1 yard rush (Al Del Greco kick),20,14
6,3.0,1:37,Titans,Derrick Mason 65 yard punt return (run failed),26,14
7,4.0,3:29,Titans,Eddie George 5 yard rush (Al Del Greco kick),33,14
8,4.0,0:15,Browns,Kevin Johnson 6 yard pass from Tim Couch (Phil Dawson kick),33,21
