,Quarter,Tm,Detail,PIT,DET
0,1.0,Steelers,Don Shy 1 yard rush (Mike Clark kick),7,0
1,2.0,Steelers,Don Shy 1 yard rush (Mike Clark kick),14,0
2,2.0,Steelers,J.R. Wilburn 66 yard pass from Kent Nix (Mike Clark kick),21,0
3,3.0,Lions,Mel Farr 3 yard pass from Milt Plum (Wayne Walker kick),21,7
4,4.0,Steelers,Mike Clark 17 yard field goal,24,7
5,4.0,Lions,Tom Nowatzke 3 yard rush (Garo Yepremian kick),24,14
