,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Jets,Bill Mathis 1 yard rush (Jim Turner kick),0,7
1,2.0,Bills,Bruce Alford 20 yard field goal,3,7
2,3.0,Bills,Bruce Alford 29 yard field goal,6,7
3,3.0,Jets,Jim Turner 37 yard field goal,6,10
4,4.0,Jets,Jim Turner 25 yard field goal,6,13
5,4.0,Jets,Jim Turner 47 yard field goal,6,16
