,Quarter,Time,Tm,Detail,JAX,TEN
0,2.0,14:04,Titans,Derrick Henry 66 yard pass from Marcus Mariota (Ryan Succop kick failed),0,6
1,2.0,10:14,Jaguars,Josh Lambo 41 yard field goal,3,6
2,2.0,1:21,Titans,Ryan Succop 25 yard field goal,3,9
3,2.0,0:00,Titans,Ryan Succop 39 yard field goal,3,12
4,3.0,7:42,Titans,Ryan Succop 38 yard field goal,3,15
5,4.0,10:48,Jaguars,Yannick Ngakoue 67 yard fumble return (Josh Lambo kick),10,15
