,Quarter,Tm,Detail,CLE,PHI
0,1.0,Eagles,Tommy McDonald 31 yard pass from Sonny Jurgensen (Bobby Walston kick),0,7
1,1.0,Browns,Jim Brown 5 yard rush (Lou Groza kick),7,7
2,2.0,Eagles,Sonny Jurgensen 1 yard rush (Bobby Walston kick),7,14
3,3.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),7,21
4,4.0,Eagles,Dick Lucas 15 yard pass from Sonny Jurgensen (Bobby Walston kick),7,28
5,4.0,Eagles,Theron Sapp 1 yard rush (Bobby Walston kick),7,35
