,Quarter,Tm,Detail,CLE,SFO
0,1.0,49ers,John Brodie 1 yard rush (Tommy Davis kick),0,7
1,1.0,Browns,Jim Brown 5 yard rush (pass failed),6,7
2,2.0,Browns,Jim Brown 12 yard rush (Lou Groza kick),13,7
3,2.0,49ers,Tommy Davis 14 yard field goal,13,10
