,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,6:09,Colts,Adam Vinatieri 47 yard field goal,0,3
1,1.0,2:33,Colts,Adam Vinatieri 48 yard field goal,0,6
2,2.0,13:13,Titans,Ryan Fitzpatrick 1 yard rush (Rob Bironas kick),7,6
3,2.0,10:26,Colts,Adam Vinatieri 45 yard field goal,7,9
4,2.0,0:00,Colts,Adam Vinatieri 37 yard field goal,7,12
5,3.0,7:29,Titans,Chris Johnson 1 yard pass from Ryan Fitzpatrick (Rob Bironas kick),14,12
6,3.0,2:33,Colts,Adam Vinatieri 49 yard field goal,14,15
7,4.0,1:56,Colts,Donald Brown 4 yard rush (Adam Vinatieri kick),14,22
