,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Mirro Roder 44 yard field goal,3,0
1,2.0,Packers,Chester Marcol 45 yard field goal,3,3
2,2.0,Packers,Steve Odom 95 yard punt return (Chester Marcol kick),3,10
3,4.0,Packers,Chester Marcol 24 yard field goal,3,13
4,4.0,Packers,John Brockington 1 yard rush (Chester Marcol kick),3,20
