,Quarter,Tm,Detail,GNB,MIN
0,2.0,Vikings,Fred Cox 25 yard field goal,0,3
1,2.0,Packers,Dale Livingston 26 yard field goal,3,3
2,3.0,Vikings,Clint Jones 1 yard rush (Fred Cox kick),3,10
