,Quarter,Tm,Detail,NWE,PIT
0,1.0,Steelers,Calvin Sweeney 3 yard pass from Cliff Stoudt (Gary Anderson kick),0,7
1,1.0,Patriots,Clayton Weishuhn 27 yard interception return (John Smith kick),7,7
2,2.0,Steelers,Gary Anderson 20 yard field goal,7,10
3,2.0,Patriots,Derrick Ramsey 4 yard pass from Steve Grogan (John Smith kick),14,10
4,2.0,Steelers,Gary Anderson 34 yard field goal,14,13
5,3.0,Patriots,Tony Collins 4 yard rush (John Smith kick),21,13
6,4.0,Steelers,Gary Anderson 28 yard field goal,21,16
7,4.0,Steelers,Walter Abercrombie 26 yard pass from Cliff Stoudt (Gary Anderson kick),21,23
8,4.0,Patriots,Stephen Starring 76 yard pass from Steve Grogan (John Smith kick),28,23
