,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,11:38,Falcons,Mike Johnson 1 yard pass from Matt Ryan (Matt Bryant kick),7,0
1,1.0,9:19,Falcons,Matt Bryant 37 yard field goal,10,0
2,1.0,6:49,Saints,Chris Ivory 56 yard rush (Garrett Hartley kick),10,7
3,2.0,13:33,Saints,Jimmy Graham 29 yard pass from Drew Brees (Garrett Hartley kick),10,14
4,2.0,6:27,Falcons,Tony Gonzalez 2 yard pass from Matt Ryan (Matt Bryant kick),17,14
5,2.0,0:34,Saints,Jimmy Graham 14 yard pass from Drew Brees (Garrett Hartley kick),17,21
6,3.0,9:23,Saints,Marques Colston 7 yard pass from Drew Brees (Garrett Hartley kick),17,28
7,4.0,13:27,Falcons,Tony Gonzalez 6 yard pass from Matt Ryan (Matt Bryant kick),24,28
8,4.0,9:08,Falcons,Matt Bryant 20 yard field goal,27,28
9,4.0,5:54,Saints,Garrett Hartley 31 yard field goal,27,31
