,Quarter,Tm,Detail,TAM,MIN
0,2.0,Buccaneers,Steve Christie 49 yard field goal,3,0
1,3.0,Buccaneers,Steve Christie 40 yard field goal,6,0
2,3.0,Vikings,Terry Allen 15 yard rush (Fuad Reveiz kick),6,7
3,3.0,Vikings,Mike Merriweather 22 yard interception return (Fuad Reveiz kick),6,14
4,4.0,Vikings,Terry Allen 55 yard rush (Fuad Reveiz kick),6,21
5,4.0,Vikings,Steve Jordan 2 yard pass from Rich Gannon (Fuad Reveiz kick),6,28
6,4.0,Buccaneers,Jesse Anderson 1 yard pass from Vinny Testaverde (Steve Christie kick),13,28
