,Quarter,Time,Tm,Detail,GNB,TAM
0,1.0,,Buccaneers,Michael Husted 24 yard field goal,0,3
1,1.0,,Packers,Robert Brooks 43 yard pass from Brett Favre (Ryan Longwell kick),7,3
2,2.0,,Buccaneers,Michael Husted 48 yard field goal,7,6
3,3.0,,Packers,Dorsey Levens 8 yard pass from Brett Favre (Ryan Longwell kick),14,6
4,4.0,,Packers,Ryan Longwell 27 yard field goal,17,6
