,Quarter,Time,Tm,Detail,PIT,KAN
0,1.0,7:49,Steelers,"Safety, Fumble O.B. in end zone",2,0
1,1.0,6:20,Chiefs,Harrison Butker 46 yard field goal,2,3
2,2.0,14:55,Steelers,Le'Veon Bell 3 yard rush (Chris Boswell kick),9,3
3,2.0,2:08,Steelers,Chris Boswell 24 yard field goal,12,3
4,4.0,6:13,Chiefs,De'Anthony Thomas 57 yard pass from Alex Smith (Harrison Butker kick),12,10
5,4.0,3:24,Steelers,Antonio Brown 51 yard pass from Ben Roethlisberger (Chris Boswell kick),19,10
6,4.0,2:17,Chiefs,Harrison Butker 33 yard field goal,19,13
