,Quarter,Tm,Detail,WAS,PHO
0,2.0,Cardinals,Johnny Johnson 1 yard rush (Greg Davis kick),0,7
1,2.0,Cardinals,Johnny Johnson 3 yard rush (Greg Davis kick),0,14
2,3.0,Redskins,Terry Orr 4 yard pass from Mark Rypien (Chip Lohmiller kick),7,14
3,3.0,Redskins,Ricky Sanders 17 yard pass from Mark Rypien (Chip Lohmiller kick),14,14
4,4.0,Redskins,Chip Lohmiller 42 yard field goal,17,14
5,4.0,Redskins,Chip Lohmiller 27 yard field goal,20,14
