,Quarter,Tm,Detail,DAL,NYJ
0,1.0,Cowboys,Ken Willis 37 yard field goal,3,0
1,2.0,Jets,Terance Mathis 98 yard punt return (Pat Leahy kick),3,7
2,2.0,Cowboys,Ken Willis 35 yard field goal,6,7
3,3.0,Jets,Pat Leahy 24 yard field goal,6,10
4,4.0,Cowboys,Ken Willis 32 yard field goal,9,10
5,4.0,Jets,Brad Baxter 2 yard rush (Pat Leahy kick),9,17
6,4.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),9,24
