,Quarter,Tm,Detail,DUL,CAN
0,1.0,Eskimos,Ernie Nevers unknown yard rush (Ernie Nevers kick),7,0
1,1.0,Eskimos,Ernie Nevers 12 yard field goal,10,0
2,2.0,Bulldogs,"Safety,",10,2
