,Quarter,Time,Tm,Detail,HOU,TEN
0,1.0,9:42,Texans,Kris Brown 21 yard field goal,3,0
1,2.0,12:49,Titans,Drew Bennett 10 yard pass from Steve McNair (Gary Anderson kick),3,7
2,2.0,9:12,Texans,Jabar Gaffney 20 yard pass from David Carr (Kris Brown kick),10,7
3,2.0,6:02,Titans,Gary Anderson 40 yard field goal,10,10
4,2.0,2:38,Texans,Kris Brown 50 yard field goal,13,10
5,4.0,4:42,Texans,Jonathan Wells 4 yard rush (Kris Brown kick),20,10
