,Quarter,Tm,Detail,MIA,RAM
0,1.0,Dolphins,Tony Nathan 31 yard pass from David Woodley (Uwe von Schamann kick),7,0
1,2.0,Dolphins,David Woodley 6 yard rush (Uwe von Schamann kick),14,0
2,2.0,Rams,Jewerl Thomas special teams fumble recovery in end zone (Frank Corral kick),14,7
3,2.0,Dolphins,Nat Moore 6 yard pass from David Woodley (Uwe von Schamann kick),21,7
4,3.0,Dolphins,David Woodley 10 yard rush (Uwe von Schamann kick),28,7
5,4.0,Rams,Victor Hicks 32 yard pass from Vince Ferragamo (Frank Corral kick),28,14
6,4.0,Dolphins,Bruce Hardy 2 yard pass from David Woodley (Uwe von Schamann kick),35,14
