,Quarter,Time,Tm,Detail,CLE,SFO
0,1.0,12:44,49ers,Frank Gore 4 yard rush (David Akers kick),0,7
1,1.0,2:55,49ers,David Akers 29 yard field goal,0,10
2,2.0,1:31,49ers,Michael Crabtree 2 yard pass from Alex Smith (David Akers kick),0,17
3,2.0,0:00,Browns,Phil Dawson 52 yard field goal,3,17
4,4.0,6:17,Browns,Josh Cribbs 45 yard pass from Colt McCoy (Phil Dawson kick),10,17
5,4.0,1:56,49ers,David Akers 26 yard field goal,10,20
