,Quarter,Tm,Detail,KAN,GNB
0,2.0,Packers,Chris Jacke 46 yard field goal,0,3
1,2.0,Chiefs,Christian Okoye 5 yard rush (Nick Lowery kick),7,3
2,4.0,Chiefs,Nick Lowery 20 yard field goal,10,3
3,4.0,Chiefs,Stan Petry 33 yard interception return (Nick Lowery kick),17,3
