,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,George Karamatic 11 yard field goal,0,3
1,2.0,Redskins,Andy Farkas unknown yard rush (Bob Masterson kick),0,10
2,3.0,Redskins,Andy Farkas 6 yard rush (Andy Farkas kick),0,17
3,3.0,Redskins,Andy Farkas unknown yard rush (George Karamatic kick),0,24
4,3.0,Redskins,Turk Edwards blocked punt recovery in end zone (George Karamatic kick),0,31
5,4.0,Rams,Stan Pincura 6 yard pass from Bob Snyder (Nels Peterson kick),7,31
6,4.0,Rams,Nels Peterson 32 yard rush,13,31
7,4.0,Redskins,Don Irwin unknown yard rush,13,37
