,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Hank Soar 2 yard rush (Ken Strong kick),0,7
1,2.0,Giants,Len Barnum 37 yard field goal,0,10
2,2.0,Giants,Len Barnum 28 yard field goal,0,13
3,3.0,Giants,Ken Strong 24 yard field goal,0,16
4,4.0,Pirates,Boyd Brumbaugh 19 yard rush (Armand Niccolai kick),7,16
5,4.0,Giants,Eddie Miller 21 yard rush (Len Barnum kick),7,23
