,Quarter,Tm,Detail,SDG,CIN
0,1.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),0,7
1,1.0,Bengals,Ray Griffin 96 yard interception return (Chris Bahr kick),0,14
2,2.0,Chargers,Mike Wood 22 yard field goal,3,14
3,2.0,Chargers,Charlie Joiner 4 yard pass from Dan Fouts (Mike Wood kick),10,14
4,2.0,Chargers,Mike Wood 42 yard field goal,13,14
5,3.0,Chargers,Mike Wood 34 yard field goal,16,14
6,4.0,Bengals,Pete Johnson 2 yard rush (Chris Bahr kick),16,21
7,4.0,Bengals,Chris Bahr 28 yard field goal,16,24
8,4.0,Chargers,Artie Owens 32 yard pass from Dan Fouts (Mike Wood kick),23,24
9,4.0,Chargers,Mike Wood 32 yard field goal,26,24
