,Quarter,Tm,Detail,PIT,CHI
0,2.0,Steelers,Preston Pearson offensive fumble recovery in end zone,6,0
1,2.0,Bears,Mac Percival 33 yard field goal,6,3
2,3.0,Steelers,Roy Gerela 32 yard field goal,9,3
3,3.0,Steelers,Roy Gerela 29 yard field goal,12,3
4,4.0,Steelers,Roy Gerela 42 yard field goal,15,3
5,4.0,Bears,Ross Brupbacher 30 yard defensive fumble return (Mac Percival kick),15,10
6,4.0,Bears,George Farmer 8 yard pass from Kent Nix (Mac Percival kick),15,17
