,Quarter,Tm,Detail,CLE,NYG
0,1.0,Giants,Dick Lynch 47 yard interception return (Don Chandler kick),0,7
1,1.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),7,7
2,1.0,Giants,Alex Webster 1 yard rush (Don Chandler kick),7,14
3,2.0,Giants,Don Chandler 25 yard field goal,7,17
4,2.0,Browns,Rich Kreitling 10 yard pass from Frank Ryan (Lou Groza kick),14,17
5,3.0,Browns,Jim Brown 72 yard pass from Frank Ryan (Lou Groza kick),21,17
6,3.0,Browns,Jim Brown 32 yard rush (Lou Groza kick),28,17
7,4.0,Giants,Phil King 14 yard pass from Y.A. Tittle (Don Chandler kick),28,24
8,4.0,Browns,Rich Kreitling 11 yard pass from Frank Ryan (Lou Groza kick),35,24
