,Quarter,Time,Tm,Detail,SEA,NYG
0,2.0,11:51,Giants,Evan Engram 5 yard pass from Eli Manning (Aldrick Rosas kick),0,7
1,2.0,0:42,Seahawks,Blair Walsh 39 yard field goal,3,7
2,3.0,7:30,Seahawks,Doug Baldwin 22 yard pass from Russell Wilson (Blair Walsh kick),10,7
3,4.0,9:34,Seahawks,Paul Richardson 38 yard pass from Russell Wilson (Blair Walsh kick),17,7
4,4.0,2:14,Seahawks,Jimmy Graham 1 yard pass from Russell Wilson (Blair Walsh kick),24,7
