,Quarter,Time,Tm,Detail,OAK,ARI
0,1.0,,Cardinals,Johnny McWilliams 2 yard pass from Jake Plummer (Joe Nedney kick),0,7
1,1.0,,Raiders,Greg Davis 51 yard field goal,3,7
2,1.0,,Raiders,Greg Davis 40 yard field goal,6,7
3,2.0,,Cardinals,Rob Moore 13 yard pass from Jake Plummer (Joe Nedney kick),6,14
4,2.0,,Raiders,Greg Davis 34 yard field goal,9,14
5,2.0,,Raiders,Charles Woodson 46 yard interception return (Greg Davis kick),16,14
6,2.0,,Raiders,Donald Hollas 1 yard rush (Greg Davis kick),23,14
7,4.0,,Cardinals,Joe Nedney 41 yard field goal,23,17
8,4.0,,Cardinals,Joe Nedney 29 yard field goal,23,20
