,Quarter,Tm,Detail,RAM,CRD
0,1.0,Cardinals,Lloyd Madden 1 yard rush (Lou Zontini kick),0,7
1,1.0,Rams,Johnny Drake 7 yard rush (Vic Spadaccini kick),7,7
2,2.0,Cardinals,Johnny Hall 50 yard interception return (Lou Zontini kick),7,14
3,4.0,Cardinals,Lou Zontini 20 yard field goal,7,17
