,Quarter,Tm,Detail,CLE,DAL
0,1.0,Cowboys,Sam Baker 15 yard field goal,0,3
1,1.0,Browns,Johnny Brewer 15 yard pass from Frank Ryan (Lou Groza kick),7,3
2,2.0,Cowboys,Frank Clarke 2 yard pass from Don Meredith (Sam Baker kick),7,10
3,2.0,Cowboys,Lee Folkins 5 yard pass from Don Meredith (Sam Baker kick),7,17
4,2.0,Browns,Rich Kreitling 28 yard pass from Frank Ryan (Lou Groza kick),14,17
5,3.0,Cowboys,Don Perkins 1 yard rush (Sam Baker kick),14,24
6,3.0,Cowboys,Don Perkins 1 yard rush (Sam Baker kick),14,31
7,4.0,Cowboys,J.W. Lockett 1 yard rush (Sam Baker kick),14,38
8,4.0,Cowboys,Billy Howton 12 yard pass from Eddie LeBaron (Sam Baker kick),14,45
9,4.0,Browns,Ray Renfro 11 yard pass from Frank Ryan (Lou Groza kick),21,45
