,Quarter,Time,Tm,Detail,WAS,NOR
0,1.0,,Saints,Morten Andersen 29 yard field goal,0,3
1,1.0,,Redskins,Henry Ellard 14 yard pass from John Friesz (Chip Lohmiller kick),7,3
2,1.0,,Redskins,Brian Mitchell 74 yard punt return (Chip Lohmiller kick),14,3
3,3.0,,Redskins,Cedric Smith 1 yard pass from John Friesz (Chip Lohmiller kick),21,3
4,3.0,,Saints,Michael Haynes 17 yard pass from Jim Everett (pass failed),21,9
5,3.0,,Redskins,Henry Ellard 41 yard pass from John Friesz (Chip Lohmiller kick),28,9
6,4.0,,Redskins,Chip Lohmiller 31 yard field goal,31,9
7,4.0,,Redskins,Desmond Howard 31 yard pass from John Friesz (Chip Lohmiller kick),38,9
8,4.0,,Saints,Torrance Small 4 yard pass from Jim Everett (Torrance Small pass from Jim Everett),38,17
9,4.0,,Saints,Brad Muster 3 yard rush (Morten Andersen kick),38,24
