,Quarter,Time,Tm,Detail,TAM,MIA
0,1.0,3:11,Dolphins,Olindo Mare 35 yard field goal,0,3
1,2.0,14:01,Buccaneers,Jamie Duncan 31 yard interception return (Martin Gramatica kick),7,3
2,2.0,0:00,Buccaneers,Martin Gramatica 38 yard field goal,10,3
3,3.0,8:25,Dolphins,Olindo Mare 23 yard field goal,10,6
4,3.0,3:18,Dolphins,Lamar Smith 1 yard rush (Olindo Mare kick),10,13
5,4.0,10:36,Buccaneers,Martin Gramatica 30 yard field goal,13,13
6,4.0,8:12,Buccaneers,Martin Gramatica 46 yard field goal,16,13
