,Quarter,Tm,Detail,RAI,KAN
0,1.0,Raiders,Frank Hawkins 1 yard rush (Chris Bahr kick),7,0
1,1.0,Chiefs,Nick Lowery 39 yard field goal,7,3
2,2.0,Chiefs,Nick Lowery 22 yard field goal,7,6
3,2.0,Chiefs,Nick Lowery 42 yard field goal,7,9
4,2.0,Raiders,Todd Christensen 3 yard pass from Jim Plunkett (Chris Bahr kick),14,9
5,2.0,Chiefs,Nick Lowery 58 yard field goal,14,12
6,3.0,Chiefs,Nick Lowery 21 yard field goal,14,15
7,3.0,Chiefs,Carlos Carson 25 yard pass from Bill Kenney (Nick Lowery kick),14,22
8,3.0,Chiefs,Stephone Paige 5 yard pass from Bill Kenney (Nick Lowery kick),14,29
9,4.0,Chiefs,Albert Lewis defensive fumble recovery in end zone (Nick Lowery kick),14,36
10,4.0,Raiders,Jessie Hester 2 yard pass from Jim Plunkett,20,36
