,Quarter,Tm,Detail,CIN,DEN
0,1.0,Broncos,Dave Preston 3 yard pass from Steve DeBerg (Rich Karlis kick),0,7
1,1.0,Bengals,Charles Alexander 3 yard rush (Jim Breech kick),7,7
2,2.0,Bengals,Jim Breech 35 yard field goal,10,7
3,2.0,Broncos,Rich Karlis 31 yard field goal,10,10
4,3.0,Broncos,Rick Parros 3 yard rush (Rich Karlis kick),10,17
5,3.0,Bengals,Ray Horton 55 yard interception return (Jim Breech kick),17,17
6,4.0,Broncos,Rick Parros 7 yard pass from Steve DeBerg (Rich Karlis kick),17,24
