,Quarter,Tm,Detail,MIN,GNB
0,1.0,Vikings,Dave Osborn 6 yard pass from Gary Cuozzo (Fred Cox kick),7,0
1,2.0,Packers,Scott Hunter 1 yard rush (Lou Michaels kick),7,7
2,3.0,Packers,Carroll Dale 56 yard pass from Scott Hunter,7,13
3,3.0,Vikings,Stu Voigt 8 yard pass from Gary Cuozzo (Fred Cox kick),14,13
4,4.0,Vikings,Bob Grim 24 yard pass from Gary Cuozzo (Fred Cox kick),21,13
5,4.0,Vikings,Fred Cox 22 yard field goal,24,13
