,Quarter,Tm,Detail,WAS,RAM
0,1.0,Rams,Tom Fears 29 yard pass from Bob Waterfield (Bob Waterfield kick),0,7
1,1.0,Rams,Bob Shaw 9 yard pass from Norm Van Brocklin,0,13
2,1.0,Redskins,Dan Sandifer 19 yard pass from Sammy Baugh (Dick Poillon kick),7,13
3,1.0,Rams,Bob Shaw 48 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,20
4,2.0,Rams,Dick Hoerner 10 yard rush (Bob Waterfield kick),7,27
5,2.0,Rams,Vitamin Smith 26 yard rush (Bob Waterfield kick),7,34
6,3.0,Redskins,Hugh Taylor 18 yard pass from Sammy Baugh (Dick Poillon kick),14,34
7,3.0,Rams,Bob Shaw 45 yard pass from Bob Waterfield,14,40
8,4.0,Rams,Bob Shaw 25 yard pass from Norm Van Brocklin,14,46
9,4.0,Rams,Tom Fears 51 yard pass from Norm Van Brocklin (Fred Gehrke kick),14,53
10,4.0,Redskins,John Hollar 14 yard pass from Sammy Baugh (Dick Poillon kick),21,53
11,4.0,Redskins,Sammy Baugh 1 yard rush,27,53
