,Quarter,Time,Tm,Detail,ATL,DAL
0,1.0,,Cowboys,Emmitt Smith 9 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,1.0,,Falcons,Morten Andersen 23 yard field goal,3,7
2,2.0,5:40,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),3,14
3,2.0,5:40,Falcons,Morten Andersen 54 yard field goal,6,14
4,2.0,5:40,Cowboys,Chris Boniol 49 yard field goal,6,17
5,2.0,5:40,Falcons,Bobby Hebert 1 yard rush (run failed),12,17
6,2.0,5:40,Falcons,Morten Andersen 32 yard field goal,15,17
7,2.0,5:40,Falcons,Morten Andersen 28 yard field goal,18,17
8,3.0,5:40,Falcons,Bert Emanuel 4 yard pass from Bobby Hebert (Morten Andersen kick),25,17
9,3.0,5:40,Cowboys,Emmitt Smith 3 yard rush (Michael Irvin pass from Troy Aikman),25,25
10,4.0,5:40,Falcons,Morten Andersen 37 yard field goal,28,25
11,4.0,5:40,Cowboys,Kelvin Martin 60 yard pass from Troy Aikman (Chris Boniol kick),28,32
