,Quarter,Tm,Detail,CIN,TAM
0,1.0,Bengals,Ken Riley 34 yard interception return (Jim Breech kick),7,0
1,1.0,Bengals,Stanley Wilson 4 yard pass from Ken Anderson (Jim Breech kick),14,0
2,2.0,Bengals,Charles Alexander 2 yard rush (pass failed),20,0
3,2.0,Buccaneers,James Owens 1 yard rush (Bill Capece kick),20,7
4,3.0,Buccaneers,Bill Capece 20 yard field goal,20,10
5,4.0,Bengals,Jim Breech 24 yard field goal,23,10
6,4.0,Buccaneers,Kevin House 15 yard pass from Jack Thompson (Bill Capece kick),23,17
