,Quarter,Tm,Detail,DEN,CLE
0,1,Browns,Herman Fontenot 6 yard pass from Bernie Kosar (Mark Moseley kick),0,7
1,2,Broncos,Rich Karlis 19 yard field goal,3,7
2,2,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),10,7
3,2,Browns,Mark Moseley 29 yard field goal,10,10
4,3,Broncos,Rich Karlis 26 yard field goal,13,10
5,4,Browns,Mark Moseley 24 yard field goal,13,13
6,4,Browns,Brian Brennan 48 yard pass from Bernie Kosar (Mark Moseley kick),13,20
7,4,Broncos,Mark Jackson 5 yard pass from John Elway (Rich Karlis kick),20,20
8,OT,Broncos,Rich Karlis 33 yard field goal,23,20
