,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,John Smith 22 yard field goal,3,0
1,1.0,Dolphins,Andra Franklin 6 yard rush (Uwe von Schamann kick),3,7
2,2.0,Dolphins,Uwe von Schamann 28 yard field goal,3,10
3,2.0,Dolphins,Dan Johnson 1 yard pass from David Woodley (Uwe von Schamann kick),3,17
4,3.0,Dolphins,Uwe von Schamann 23 yard field goal,3,20
5,3.0,Dolphins,Duriel Harris 64 yard pass from David Woodley (Uwe von Schamann kick),3,27
6,4.0,Patriots,Lin Dawson 12 yard pass from Steve Grogan (John Smith kick),10,27
7,4.0,Patriots,Clarence Weathers 36 yard pass from Steve Grogan (John Smith kick),17,27
8,4.0,Dolphins,Andra Franklin 7 yard rush (Uwe von Schamann kick),17,34
9,4.0,Patriots,Mosi Tatupu 5 yard rush (John Smith kick),24,34
