,Quarter,Tm,Detail,MIN,CHI
0,1,Vikings,Fred Cox 23 yard field goal,3,0
1,3,Vikings,John Gilliam 35 yard pass from Fran Tarkenton (Fred Cox kick),10,0
2,4,Vikings,Stu Voigt 4 yard pass from Fran Tarkenton (Fred Cox kick),17,0
