,Quarter,Tm,Detail,BAL,GNB
0,1.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),0,7
1,1.0,Colts,Lenny Moore 9 yard rush,6,7
2,2.0,Packers,Gary Knafelc 32 yard pass from Tobin Rote (Fred Cone kick),6,14
3,2.0,Colts,L.G. Dupre 8 yard pass from Lenny Moore (Bert Rechichar kick),13,14
4,2.0,Colts,Lenny Moore 10 yard rush (Bert Rechichar kick),20,14
5,2.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),20,21
6,2.0,Packers,Fred Cone 16 yard field goal,20,24
7,3.0,Colts,Carl Taseff 90 yard punt return,26,24
8,3.0,Packers,Gary Knafelc 9 yard pass from Tobin Rote (Fred Cone kick),26,31
9,3.0,Packers,Bobby Dillon 42 yard interception return (Fred Cone kick),26,38
10,4.0,Colts,Jesse Thomas 25 yard fumble return (Tom Feamster kick),33,38
