,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Dolphins,Bob Griese 5 yard rush,6,0
1,2.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),13,0
2,2.0,Dolphins,Nat Moore 53 yard pass from Bob Griese (Garo Yepremian kick),20,0
3,2.0,Dolphins,Mercury Morris 10 yard rush,26,0
4,3.0,Dolphins,Norm Bulaich 2 yard pass from Bob Griese (Garo Yepremian kick),33,0
5,3.0,Dolphins,Jim Mandich 32 yard pass from Bob Griese (Garo Yepremian kick),40,0
6,4.0,Dolphins,Garo Yepremian 18 yard field goal,43,0
