,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Craig Taylor 2 yard rush (Jim Breech kick),7,0
1,1.0,Oilers,Tony Jones 33 yard pass from Warren Moon (Tony Zendejas kick),7,7
2,2.0,Bengals,Jim Breech 29 yard field goal,10,7
3,2.0,Oilers,Drew Hill 33 yard pass from Warren Moon (Tony Zendejas kick),10,14
4,2.0,Oilers,Richard Johnson 30 yard interception return (Tony Zendejas kick),10,21
5,2.0,Oilers,Leonard Harris 42 yard pass from Warren Moon (Tony Zendejas kick),10,28
6,2.0,Oilers,Tony Zendejas 22 yard field goal,10,31
7,3.0,Oilers,Ernest Givins 11 yard pass from Warren Moon (Tony Zendejas kick),10,38
8,3.0,Bengals,Rodney Holman 5 yard pass from Boomer Esiason (Jim Breech kick),17,38
9,4.0,Oilers,Haywood Jeffires 3 yard pass from Warren Moon (Tony Zendejas kick),17,45
10,4.0,Oilers,Tony Zendejas 23 yard field goal,17,48
