,Quarter,Tm,Detail,BOS,DET
0,1.0,Yanks,Roy Zimmerman 22 yard field goal,3,0
1,1.0,Yanks,Bill Paschal 13 yard pass from Jim Youel (Roy Zimmerman kick),10,0
2,2.0,Yanks,Joe Golding 40 yard interception return (Roy Zimmerman kick),17,0
3,4.0,Lions,Clyde LeForce unknown yard pass from Fred Enke (Merv Pregulman kick),17,7
4,4.0,Lions,Camp Wilson unknown yard rush (Merv Pregulman kick),17,14
