,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,3:10,Jaguars,Chastin West 23 yard pass from Blaine Gabbert (Josh Scobee kick),0,7
1,2.0,12:03,Colts,Adam Vinatieri 48 yard field goal,3,7
2,2.0,1:01,Jaguars,Josh Scobee 25 yard field goal,3,10
3,3.0,9:07,Colts,Adam Vinatieri 20 yard field goal,6,10
4,3.0,7:33,Jaguars,Josh Scobee 32 yard field goal,6,13
5,3.0,5:47,Jaguars,Josh Scobee 47 yard field goal,6,16
6,4.0,6:30,Jaguars,Josh Scobee 39 yard field goal,6,19
7,4.0,3:22,Colts,Austin Collie 12 yard pass from Dan Orlovsky (Adam Vinatieri kick),13,19
