,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Boyd Dowler 5 yard pass from Bart Starr (Don Chandler kick),7,0
1,1.0,Bears,Gale Sayers 43 yard rush (Mac Percival kick),7,7
2,2.0,Packers,Donny Anderson 1 yard rush (Don Chandler kick),14,7
3,2.0,Bears,Mac Percival 10 yard field goal,14,10
4,3.0,Packers,Don Chandler 38 yard field goal,17,10
5,4.0,Bears,Mac Percival 15 yard field goal,17,13
