,Quarter,Tm,Detail,PRT,GNB
0,1.0,Packers,Al Rose blocked punt recovery in end zone (Harry O'Boyle kick),0,7
1,3.0,Spartans,Harry Ebding 24 yard pass from Glenn Presnell (Dutch Clark kick),7,7
2,3.0,Spartans,Dutch Clark 27 yard field goal,10,7
3,4.0,Packers,"Safety, intentional",10,9
4,4.0,Packers,Clarke Hinkle 22 yard rush,10,15
