,Quarter,Tm,Detail,PHI,CHI
0,1.0,Bears,George Wilson 25 yard fumble return (Lee Artoe kick),0,7
1,1.0,Bears,Frank Maznicki 28 yard field goal,0,10
2,2.0,Bears,Frank Maznicki 14 yard pass from Charlie O'Rourke (Lee Artoe kick),0,17
3,2.0,Eagles,Ernie Steele 80 yard touchdown on a lateral (Len Barnum kick),7,17
4,3.0,Bears,Hugh Gallarneau 3 yard rush (Lee Artoe kick),7,24
5,3.0,Bears,Harry Clarke 2 yard rush (Frank Maznicki kick),7,31
6,4.0,Eagles,Bert Johnson 3 yard pass from Tommy Thompson (Ernie Steele kick),14,31
7,4.0,Bears,Connie Mack Berry 32 yard rush (Frank Maznicki kick),14,38
8,4.0,Bears,Connie Mack Berry 46 yard fumble return (Frank Maznicki kick),14,45
