,Quarter,Tm,Detail,MIN,DAL
0,1.0,Vikings,Chuck Foreman 4 yard pass from Fran Tarkenton (Rick Danmeier kick),7,0
1,1.0,Vikings,Rickey Young 4 yard rush (Rick Danmeier kick),14,0
2,2.0,Cowboys,Rafael Septien 25 yard field goal,14,3
3,2.0,Vikings,Sammy White 12 yard pass from Fran Tarkenton (Rick Danmeier kick),21,3
4,3.0,Cowboys,Robert Newhouse 1 yard rush (Rafael Septien kick),21,10
