,Quarter,Tm,Detail,BOS,CRD
0,1.0,Cardinals,Charley Trippi 1 yard rush (Pat Harder kick),0,7
1,1.0,Yanks,Don Currivan 15 yard pass from Boley Dancewicz (Frank Maznicki kick),7,7
2,2.0,Cardinals,Billy Dewell 8 yard pass from Paul Christman,7,13
3,3.0,Cardinals,Red Cochran 7 yard pass from Paul Christman (Pat Harder kick),7,20
4,4.0,Cardinals,Billy Dewell 18 yard pass from Paul Christman (Pat Harder kick),7,27
