,Quarter,Tm,Detail,PHI,GNB
0,1.0,Packers,Bob Mann 5 yard pass from Bobby Thomason (Fred Cone kick),0,7
1,2.0,Eagles,Pete Pihos 25 yard pass from Bill Mackrides (Bobby Walston kick),7,7
2,3.0,Packers,Fred Cone 20 yard field goal,7,10
3,3.0,Eagles,Bobby Walston 27 yard field goal,10,10
4,3.0,Packers,Bob Mann 44 yard pass from Tobin Rote (Fred Cone kick),10,17
5,4.0,Packers,Carl Elliott 6 yard pass from Bobby Thomason (Fred Cone kick),10,24
6,4.0,Packers,Bob Summerhays 88 yard interception return (Fred Cone kick),10,31
7,4.0,Packers,Bob Mann 38 yard pass from Bobby Thomason,10,37
8,4.0,Eagles,Dan Sandifer 2 yard rush (Bobby Walston kick),17,37
9,4.0,Eagles,Frank Ziegler 1 yard rush (Bobby Walston kick),24,37
