,Quarter,Tm,Detail,NYY,GNB
0,1.0,Packers,Tony Canadeo 1 yard rush (Fred Cone kick),0,7
1,2.0,Yanks,Sherman Howard 10 yard pass from George Ratterman (Harvey Johnson kick),7,7
2,3.0,Packers,Ray Pelfrey 49 yard pass from Tobin Rote (Fred Cone kick),7,14
3,3.0,Packers,Tobin Rote 55 yard rush (Fred Cone kick),7,21
4,3.0,Yanks,Harvey Johnson 34 yard field goal,10,21
5,4.0,Yanks,Dan Edwards 53 yard pass from Bob Celeri (Harvey Johnson kick),17,21
6,4.0,Yanks,Dan Edwards 31 yard pass from Bob Celeri (Harvey Johnson kick),24,21
7,4.0,Yanks,Buddy Young 41 yard pass from Bob Celeri (Harvey Johnson kick),31,21
8,4.0,Packers,Dom Moselle 6 yard pass from Tobin Rote (Fred Cone kick),31,28
