,Quarter,Tm,Detail,DAY,COL
0,1.0,Triangles,Russ Hathaway unknown yard field goal,3,0
1,2.0,Tigers,Bob Rapp 70 yard pass from Sonny Winters (Gus Tebell kick),3,7
2,2.0,Tigers,Gus Tebell unknown yard field goal,3,10
3,3.0,Tigers,Lee Snoots 8 yard rush,3,16
4,4.0,Tigers,Bob Rapp 60 yard rush (Red Weaver kick),3,23
5,4.0,Tigers,Gus Tebell 20 yard fumble return (Red Weaver kick),3,30
