,Quarter,Tm,Detail,AKR,CAN
0,1,Bulldogs,Guy Chamberlin blocked punt recovery in end zone (Pete Henry kick),0,7
1,2,Bulldogs,Harry Robb 2 yard rush (Ed Shaw kick),0,14
