,Quarter,Tm,Detail,MIA,BAL
0,1.0,Dolphins,Howard Twilley 4 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,2.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),14,0
2,2.0,Colts,Toni Linhart 26 yard field goal,14,3
3,3.0,Dolphins,Garo Yepremian 27 yard field goal,17,3
4,3.0,Colts,Toni Linhart 40 yard field goal,17,6
5,4.0,Colts,Toni Linhart 20 yard field goal,17,9
6,4.0,Colts,Bill Olds 2 yard pass from Bert Jones (Toni Linhart kick),17,16
