,Quarter,Tm,Detail,BAL,CHI
0,1.0,Bears,Roger LeClerc 14 yard field goal,0,3
1,2.0,Colts,Johnny Unitas 7 yard rush (Steve Myhra kick),7,3
2,2.0,Bears,Johnny Morris 8 yard pass from Ed Brown (Roger LeClerc kick),7,10
3,4.0,Colts,Steve Myhra 32 yard field goal,10,10
4,4.0,Bears,Willie Galimore 84 yard pass from Ed Brown (Roger LeClerc kick),10,17
5,4.0,Bears,Rick Casares 1 yard rush (Roger LeClerc kick),10,24
