,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Jimmy Orr 22 yard pass from Tom Tracy (Bert Rechichar kick),0,7
1,2.0,Giants,Pat Summerall 41 yard field goal,3,7
2,2.0,Giants,"Safety, Johnson tackled in end zone by Grier",5,7
3,2.0,Giants,Kyle Rote 9 yard pass from George Shaw (Pat Summerall kick),12,7
4,3.0,Steelers,Buddy Dial 30 yard pass from Bobby Layne (Bert Rechichar kick),12,14
5,4.0,Steelers,Bert Rechichar 11 yard field goal,12,17
6,4.0,Giants,Frank Gifford 44 yard pass from Charlie Conerly (Pat Summerall kick),19,17
