,Quarter,Time,Tm,Detail,CIN,PIT
0,1.0,,Steelers,Norm Johnson 33 yard field goal,0,3
1,3.0,,Bengals,Doug Pelfrey 19 yard field goal,3,3
2,3.0,,Steelers,Kordell Stewart 32 yard pass from Mike Tomczak (Norm Johnson kick),3,10
3,4.0,,Steelers,Norm Johnson 22 yard field goal,3,13
4,4.0,,Steelers,Rod Woodson 42 yard defensive fumble return (Norm Johnson kick),3,20
5,4.0,,Bengals,Carl Pickens 3 yard pass from Jeff Blake (Doug Pelfrey kick),10,20
