,Quarter,Time,Tm,Detail,BUF,NYG
0,2.0,14:49,Bills,Dave Moore 24 yard pass from Drew Bledsoe (Rian Lindell kick),7,0
1,2.0,14:32,Giants,Amani Toomer 77 yard pass from Kerry Collins (Matt Bryant kick),7,7
2,2.0,9:26,Bills,Rian Lindell 26 yard field goal,10,7
3,2.0,4:07,Bills,Bobby Shaw 22 yard pass from Drew Bledsoe (Rian Lindell kick),17,7
4,3.0,5:30,Bills,Travis Henry 13 yard rush (Rian Lindell kick),24,7
