,Quarter,Tm,Detail,PHI,BKN
0,3.0,Eagles,Dick Erdlitz 1 yard rush (Dick Erdlitz kick),7,0
1,4.0,Dodgers,Pug Manders 23 yard rush (Merl Condit kick),7,7
2,4.0,Eagles,Bill Combs 19 yard pass from Tommy Thompson (Dick Erdlitz kick),14,7
