,Quarter,Tm,Detail,CRD,NYG
0,2.0,Cardinals,Mack Flenniken unknown yard rush,6,0
1,2.0,Giants,Len Sedbrook 85 yard rush,6,6
2,2.0,Giants,Ossie Wiberg 8 yard rush (Benny Friedman kick),6,13
3,4.0,Cardinals,Mack Flenniken 4 yard rush,12,13
4,4.0,Giants,Benny Friedman 3 yard rush,12,19
5,4.0,Giants,Benny Friedman 2 yard rush,12,25
